codigo_act,cve_mun,fecha_alta,municipio,per_ocu,nombre_act,nom_estab,id
811111,102,2019-11,Tonaya,0 a 5 personas,ReparaciÛn mec·nica en general de automÛviles y camiones,TALLER MECANICO SERVICIO SANTANA,7479998
811111,102,2014-12,Tonaya,0 a 5 personas,ReparaciÛn mec·nica en general de automÛviles y camiones,TALLER MECANICO SERVICIO TONAYA,1759629
811111,110,2010-07,UniÛn de Tula,0 a 5 personas,ReparaciÛn mec·nica en general de automÛviles y camiones,TALLER MECANICO SIN NOMBRE,1849762
811111,110,2010-07,UniÛn de Tula,0 a 5 personas,ReparaciÛn mec·nica en general de automÛviles y camiones,TALLER MECANICO SIN NOMBRE,1849767
811111,110,2010-07,UniÛn de Tula,0 a 5 personas,ReparaciÛn mec·nica en general de automÛviles y camiones,TALLER MEC¡NICO VELAZCO,1849846
811111,110,2019-11,UniÛn de Tula,0 a 5 personas,ReparaciÛn mec·nica en general de automÛviles y camiones,TALLER MECANICO Y MULTISERVICIOS ARLEY,7479440
811111,106,2010-07,Tuxcacuesco,0 a 5 personas,ReparaciÛn mec·nica en general de automÛviles y camiones,TALLER MECANICO Y REFACCIONARIA ROCKO,1857710
811121,110,2014-12,UniÛn de Tula,0 a 5 personas,HojalaterÌa y pintura de automÛviles y camiones,TALLER PINTURA,1770193
811111,106,2019-11,Tuxcacuesco,0 a 5 personas,ReparaciÛn mec·nica en general de automÛviles y camiones,TALLER Y LLANTERA EL PELUCAS,8447696
811121,110,2010-07,UniÛn de Tula,0 a 5 personas,HojalaterÌa y pintura de automÛviles y camiones,TRANSMISIONES AUTOMATICAS VEGA,1850300
